"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAYMOND","EQ","11-Oct-2019","        584.55","        588.20","        594.00","        571.10","        576.25","        575.65","        580.53","     309168","           179480928.90","       8929","      46040","         14.89"
"RAYMOND","EQ","14-Oct-2019","        575.65","        579.25","        591.90","        565.10","        585.00","        580.30","        577.15","     359334","           207388211.55","       9679","      84421","         23.49"
"RAYMOND","EQ","15-Oct-2019","        580.30","        582.00","        594.00","        572.00","        574.95","        577.85","        584.27","     427355","           249691340.80","      10339","      46341","         10.84"
"RAYMOND","EQ","16-Oct-2019","        577.85","        579.00","        584.60","        570.00","        570.00","        572.55","        577.28","     204677","           118155153.45","       6157","      41046","         20.05"
"RAYMOND","EQ","17-Oct-2019","        572.55","        572.95","        575.00","        565.00","        570.00","        571.10","        571.06","     197171","           112597382.55","       5443","      44093","         22.36"
"RAYMOND","EQ","18-Oct-2019","        571.10","        570.00","        600.00","        570.00","        600.00","        596.00","        591.48","     773805","           457692848.85","      14426","     246845","         31.90"
"RAYMOND","EQ","22-Oct-2019","        596.00","        602.40","        625.00","        600.00","        613.60","        613.75","        615.67","     552863","           340381910.60","      20763","     103180","         18.66"
"RAYMOND","EQ","23-Oct-2019","        613.75","        616.85","        623.45","        593.00","        597.00","        598.25","        611.41","     288039","           176109747.35","       8099","      43831","         15.22"
"RAYMOND","EQ","24-Oct-2019","        598.25","        597.05","        612.00","        592.25","        604.70","        601.75","        604.55","     254043","           153582085.45","       9012","      31865","         12.54"
"RAYMOND","EQ","25-Oct-2019","        601.75","        604.70","        618.90","        583.15","        591.05","        592.00","        601.24","     504370","           303245219.85","      14918","      63804","         12.65"
"RAYMOND","EQ","27-Oct-2019","        592.00","        595.00","        605.40","        591.30","        595.75","        596.25","        598.76","      51308","            30721409.45","       2133","      17330","         33.78"
"RAYMOND","EQ","29-Oct-2019","        596.25","        596.00","        601.90","        576.50","        579.50","        578.50","        585.46","     282160","           165192170.20","       8189","     117157","         41.52"
"RAYMOND","EQ","30-Oct-2019","        578.50","        579.95","        592.00","        575.05","        579.00","        579.65","        582.39","     341513","           198894026.45","       9889","      77840","         22.79"
"RAYMOND","EQ","31-Oct-2019","        579.65","        583.25","        587.00","        577.00","        579.75","        580.25","        581.77","     227873","           132568611.70","       5121","      98654","         43.29"
"RAYMOND","EQ","01-Nov-2019","        580.25","        579.75","        594.70","        576.05","        590.95","        591.05","        587.17","     357187","           209729449.60","       6636","     158102","         44.26"
"RAYMOND","EQ","04-Nov-2019","        591.05","        594.00","        611.00","        592.60","        598.80","        598.90","        602.28","     510063","           307202041.80","      10056","     133997","         26.27"
"RAYMOND","EQ","05-Nov-2019","        598.90","        601.70","        614.90","        593.55","        598.85","        597.85","        604.92","     501851","           303577497.95","      11029","     117675","         23.45"
"RAYMOND","EQ","06-Nov-2019","        597.85","        600.90","        635.00","        598.10","        634.00","        627.90","        619.37","     949562","           588134494.50","      18101","     243126","         25.60"
"RAYMOND","EQ","07-Nov-2019","        627.90","        634.00","        681.00","        633.95","        679.60","        673.35","        665.19","    2621906","          1744060310.85","      49773","     390822","         14.91"
"RAYMOND","EQ","08-Nov-2019","        673.35","        700.00","        808.00","        700.00","        808.00","        808.00","        772.00","    8443463","          6518320396.10","     139921","    1562632","         18.51"
"RAYMOND","EQ","11-Nov-2019","        808.00","        829.00","        829.00","        740.40","        750.30","        748.70","        776.35","    5087605","          3949772534.85","     136367","     613518","         12.06"
"RAYMOND","EQ","13-Nov-2019","        748.70","        749.00","        800.00","        749.00","        790.00","        791.65","        780.83","    3684542","          2877003576.25","      70809","     411542","         11.17"
"RAYMOND","EQ","14-Nov-2019","        791.65","        782.00","        789.70","        736.10","        737.50","        743.15","        759.86","     986419","           749538248.15","      25810","     259569","         26.31"
"RAYMOND","EQ","15-Nov-2019","        743.15","        750.00","        767.00","        737.50","        743.00","        742.00","        752.38","     819277","           616407644.25","      21030","     107392","         13.11"
"RAYMOND","EQ","18-Nov-2019","        742.00","        748.60","        755.40","        715.00","        718.00","        719.00","        727.80","     769433","           559992716.50","      25477","     175831","         22.85"
"RAYMOND","EQ","19-Nov-2019","        719.00","        720.00","        728.75","        695.00","        698.00","        700.50","        708.91","     729134","           516893871.20","      21409","     191458","         26.26"
"RAYMOND","EQ","20-Nov-2019","        700.50","        700.50","        730.00","        700.50","        710.35","        709.15","        715.65","    1062418","           760316316.10","      27500","     156948","         14.77"
"RAYMOND","EQ","21-Nov-2019","        709.15","        713.25","        716.20","        687.55","        689.40","        692.30","        700.03","     531958","           372386531.30","      22101","     159723","         30.03"
"RAYMOND","EQ","22-Nov-2019","        692.30","        691.70","        702.50","        682.25","        690.00","        691.60","        692.68","     548868","           380190301.50","      17146","      76447","         13.93"
